Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
C,A,A,B,A,A,A,I enjoy technology and Version Control,Software Engineering
B,B,C,B,C,A,D,I love code,Software Engineering
B,C,C,C,F,A,F,"Learning more about Professional study of building software systems, application...",Software Engineering
C,D,A,B,C,A,A,Medicine,Medicine
B,A,A,B,A,A,A,I am interested in Medicine,Medicine
D,C,D,C,C,B,D,Interested in Medicine and treatment,Medicine
A,B,B,C,A,A,C,I enjoy care and Critical Thinking,Medicine
B,C,B,B,D,A,E,"Good at Critical Thinking, want to be a Medical Specialist",Medicine
C,B,C,C,B,A,B,save lives life sciences biology,Medicine
E,C,C,D,F,A,D,I want to work with saving lives,Medicine
B,B,F,C,A,A,C,How can I study Medicine?,Medicine
B,B,B,C,B,A,A,How can I study Medicine?,Medicine
C,D,B,B,A,A,A,I want to improve my skills in Memorization,Medicine
B,E,C,D,B,A,C,I love anatomy,Medicine
A,A,A,A,A,A,C,Pharmacist career path,Medicine
C,B,C,D,C,A,B,I am looking for a career in Neurologist,Medicine
C,A,B,C,D,B,B,I love patient,Medicine
B,C,C,D,A,A,D,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,A,B,A,A,A,C,I am looking for a career in Doctor,Medicine
C,C,B,B,A,A,A,I love surgeon,Medicine
C,C,A,C,C,A,D,Researching Medicine opportunities,Medicine
B,E,C,D,B,A,C,medical technology treatment medical profession,Medicine
B,B,B,B,C,A,E,Focusing on Chemistry and Communication,Medicine
C,D,A,C,A,A,A,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
B,C,D,D,C,B,C,I am interested in Medicine,Medicine
B,B,C,C,E,A,D,How can I study Medicine?,Medicine
C,F,B,E,C,B,F,Medicine,Medicine
C,A,A,D,A,A,D,Helping with Critical Thinking in Medicine,Medicine
B,A,A,B,B,B,B,Focusing on Critical Thinking and Biology,Medicine
D,A,A,C,B,A,B,I want to work with patient,Medicine
C,C,E,E,B,B,D,"Good at Communication, want to be a Cardiologist",Medicine
B,B,B,B,D,A,C,I enjoy medical practice and Biology,Medicine
C,B,C,B,A,A,B,Study Medicine,Medicine
B,D,B,B,B,A,C,I love physician,Medicine
C,B,B,B,E,D,C,Interested in Medicine and healthcare provider,Medicine
C,B,B,B,E,A,C,Medical Specialist career path,Medicine
B,C,C,C,F,A,D,Pharmacist career path,Medicine
C,B,C,D,C,A,B,Is Medicine a good major?,Medicine
D,F,C,A,C,C,C,Study Medicine,Medicine
C,C,A,C,B,A,B,I am interested in Medicine,Medicine
B,B,C,C,D,A,B,I want to apply my Chemistry skills in the field of Medicine,Medicine
D,E,B,A,A,A,D,"surgeon, biology",Medicine
C,B,B,D,A,A,B,Doctor career path,Medicine
A,D,C,C,C,A,E,I'm passionate about pediatrics,Medicine
D,D,B,C,A,B,B,Researching Medicine opportunities,Medicine
D,A,A,B,B,A,A,Focusing on Chemistry and Patient Care,Medicine
B,C,B,B,D,A,E,healthcare surgeon saving lives,Medicine
A,B,F,B,C,A,B,Is Medicine a good major?,Medicine
C,C,C,D,D,A,E,I am looking for a career in Medical Specialist,Medicine
C,B,B,C,A,A,C,I want to work with anatomy,Medicine
B,C,D,C,C,B,B,Study Medicine,Medicine
D,C,F,D,C,B,C,Focusing on Communication and Chemistry,Medicine
B,B,F,D,C,A,D,Medicine,Medicine
E,C,F,B,B,A,C,diagnosis medical degree pharmacology,Medicine
C,B,B,C,A,A,C,Researching Medicine opportunities,Medicine
B,C,F,B,C,A,B,"Good at Chemistry, want to be a Medical Specialist",Medicine
C,C,E,E,B,B,D,Focusing on Memorization and Critical Thinking,Medicine
B,A,B,B,B,A,D,I am interested in Medicine,Medicine
B,B,C,A,B,A,A,Medicine seems like a good fit for me,Medicine
C,A,A,C,B,A,B,Researching Medicine opportunities,Medicine
C,C,B,A,F,C,F,Helping with Patient Care in Medicine,Medicine
A,A,A,A,A,A,C,I'm passionate about patient,Medicine
A,B,B,B,C,A,B,healthcare provider helping people physician,Medicine
B,A,B,B,A,A,B,I am looking for a career in Emergency Medicine Physician,Medicine
C,B,A,B,C,A,D,I am looking for a career in Medical Specialist,Medicine
C,D,C,E,B,A,A,"Good at Communication, want to be a Medical Specialist",Medicine
D,B,C,C,D,A,F,I want to study Medicine,Medicine
A,A,C,C,C,A,C,Is Medicine a good major?,Medicine
B,D,B,B,B,A,C,Medical Researcher career path,Medicine
B,B,C,A,B,A,A,Study Medicine,Medicine
C,E,C,E,C,B,B,I enjoy diagnosis and Communication,Medicine
B,B,F,D,C,B,C,I enjoy saving lives and Critical Thinking,Medicine
C,B,A,B,C,A,D,Focusing on Memorization and Chemistry,Medicine
B,B,A,C,B,A,B,I enjoy medical practice and Critical Thinking,Medicine
B,A,A,C,A,B,C,Medicine seems like a good fit for me,Medicine
A,C,D,D,C,B,D,Medicine seems like a good fit for me,Medicine
B,B,B,B,B,A,B,I want to work with anatomy,Medicine
C,A,A,B,A,A,B,How can I study Medicine?,Medicine
B,B,A,C,B,A,B,Focusing on Biology and Chemistry,Medicine
B,C,D,B,C,B,C,Researching Medicine opportunities,Medicine
C,C,B,A,F,C,F,"save lives, medical specialist",Medicine
C,B,D,C,C,A,C,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,C,B,D,B,A,C,Emergency Medicine Physician career path,Medicine
F,A,A,D,B,A,F,I am interested in Medicine,Medicine
C,B,C,C,D,A,A,I am looking for a career in Medical Researcher,Medicine
D,B,C,D,C,D,A,Medicine seems like a good fit for me,Medicine
D,E,B,A,A,A,D,"bio, neurology",Medicine
D,D,A,B,A,B,C,I'm passionate about biology,Medicine
C,B,C,B,A,B,D,I want to study Medicine,Medicine
C,A,B,B,C,A,C,Interested in Medicine and medical,Medicine
A,B,B,C,A,A,C,I am interested in Medicine,Medicine
D,F,C,C,C,B,C,"save lives, surgeon",Medicine
B,C,A,B,C,C,B,life sciences chemistry surgery,Medicine
C,B,C,B,C,A,E,I am looking for a career in Doctor,Medicine
B,C,A,B,C,A,D,I want to improve my skills in Biology,Medicine
B,B,A,A,A,A,B,"Good at Biology, want to be a Emergency Medicine Physician",Medicine
B,A,D,B,A,A,C,Medicine,Medicine
D,C,D,E,C,A,A,Surgeon career path,Medicine
A,A,C,B,B,B,C,Is Medicine a good major?,Medicine
B,C,A,A,E,A,D,I love therapeutic,Medicine
D,D,B,D,C,B,E,Researching Medicine opportunities,Medicine
B,C,C,C,A,A,D,Researching Medicine opportunities,Medicine
B,D,C,D,C,C,E,I want to improve my skills in Chemistry,Medicine
A,C,C,B,E,B,E,I'm passionate about biology,Medicine
B,C,C,A,F,B,B,I want to study Medicine,Medicine
B,A,A,C,B,A,A,I want to work with healing,Medicine
D,B,B,D,A,A,C,Researching Medicine opportunities,Medicine
B,B,C,A,B,A,A,Helping with Memorization in Medicine,Medicine
B,A,C,C,C,A,D,Medical Researcher career path,Medicine
A,B,B,B,C,A,B,I want to study Medicine,Medicine
C,A,A,B,A,A,A,My goal is to become a Emergency Medicine Physician,Medicine
B,E,A,A,B,B,C,I love save lives,Medicine
E,B,E,C,C,A,B,"Good at Chemistry, want to be a Medical Researcher",Medicine
B,E,C,D,B,B,E,I want to apply my Communication skills in the field of Medicine,Medicine
B,B,A,C,C,A,B,I want to work with cardiology,Medicine
F,C,C,D,E,C,D,I want to apply my Biology skills in the field of Medicine,Medicine
B,B,B,B,A,A,B,I am interested in Medicine,Medicine
C,C,B,B,A,A,A,How can I study Medicine?,Medicine
A,B,C,A,B,A,B,My goal is to become a Emergency Medicine Physician,Medicine
B,A,C,C,C,A,D,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,A,B,A,A,D,How can I study Medicine?,Medicine
C,A,B,B,C,A,C,I'm passionate about biology,Medicine
D,C,F,A,C,B,B,I want to improve my skills in Communication,Medicine
B,E,C,D,B,B,E,I love pediatrics,Medicine
F,C,C,D,E,C,D,I want to apply my Patient Care skills in the field of Medicine,Medicine
B,A,A,A,A,A,C,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,C,B,B,C,A,C,Helping with Memorization in Medicine,Medicine
C,A,B,B,C,A,C,I'm passionate about biology,Medicine
A,A,A,B,A,A,A,I want to work with chemistry,Medicine
B,B,B,B,A,A,B,"medical school, neurology",Medicine
C,C,C,C,B,A,B,I want to study Medicine,Medicine
B,C,C,E,D,A,E,Researching Medicine opportunities,Medicine
C,B,C,B,A,B,D,Helping with Communication in Medicine,Medicine
B,A,A,B,A,A,B,Doctor career path,Medicine
A,A,A,A,A,A,B,Medicine seems like a good fit for me,Medicine
B,C,B,A,B,A,D,I want to apply my Communication skills in the field of Medicine,Medicine
A,B,B,C,B,A,C,Interested in Medicine and care,Medicine
C,A,C,C,B,A,B,Study Medicine,Medicine
B,A,A,F,B,A,B,Medicine,Medicine
C,B,C,C,B,A,B,Is Medicine a good major?,Medicine
C,A,A,D,A,A,C,My goal is to become a Medical Specialist,Medicine
C,B,C,B,D,A,D,I enjoy hospital and Memorization,Medicine
A,B,A,B,B,A,F,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,A,A,B,A,A,Helping with Memorization in Medicine,Medicine
C,B,C,C,B,A,B,Researching Medicine opportunities,Medicine
A,D,C,C,B,B,D,I am looking for a career in Pediatrician,Medicine
E,D,C,D,C,A,B,I want to study Medicine,Medicine
B,B,B,A,A,A,E,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
A,B,E,B,B,B,B,Interested in Medicine and emergency medicine,Medicine
B,A,A,A,A,A,C,Medical Researcher career path,Medicine
C,C,E,C,C,A,F,Researching Medicine opportunities,Medicine
D,A,C,D,C,A,B,I want to apply my Memorization skills in the field of Medicine,Medicine
A,E,A,B,C,A,D,Interested in Medicine and therapeutic,Medicine
A,A,A,C,B,A,D,Study Medicine,Medicine
C,A,B,A,A,A,D,"Good at Critical Thinking, want to be a Pharmacist",Medicine
C,D,C,E,B,A,A,I love helping people,Medicine
C,B,C,D,C,A,B,How can I study Medicine?,Medicine
B,D,C,D,A,A,B,I am interested in Medicine,Medicine
C,C,A,B,C,C,C,Is Medicine a good major?,Medicine
A,A,A,A,A,A,B,Researching Medicine opportunities,Medicine
B,C,E,C,B,D,D,I'm passionate about medical school,Medicine
C,B,C,C,D,A,A,Helping with Patient Care in Medicine,Medicine
E,C,E,C,C,B,B,Is Medicine a good major?,Medicine
B,B,B,B,A,A,F,Is Medicine a good major?,Medicine
D,E,C,C,C,A,F,Study Medicine,Medicine
B,C,C,B,E,A,F,Medicine,Medicine
B,A,A,F,B,A,B,Researching Medicine opportunities,Medicine
B,C,C,E,D,A,E,Medicine seems like a good fit for me,Medicine
E,A,B,B,A,A,C,Medicine seems like a good fit for me,Medicine
C,B,A,D,C,A,D,Interested in Medicine and medical school,Medicine
B,B,A,A,F,A,B,How can I study Medicine?,Medicine
C,B,B,B,E,B,C,I want to improve my skills in Communication,Medicine
B,A,A,C,A,A,A,Medicine seems like a good fit for me,Medicine
C,B,A,A,A,A,D,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,C,C,A,A,B,Interested in Medicine and bio,Medicine
F,A,A,D,B,A,F,"medical degree, surgeon",Medicine
C,B,F,B,B,B,C,medicine surgery anatomy,Medicine
B,C,A,C,B,A,C,Interested in Medicine and save lives,Medicine
D,C,E,E,B,A,A,I am interested in Medicine,Medicine
B,A,B,B,A,A,C,"Good at Communication, want to be a Medical Specialist",Medicine
C,F,B,C,B,A,D,Focusing on Memorization and Patient Care,Medicine
B,B,B,B,D,A,C,I want to study Medicine,Medicine
B,C,C,B,D,A,D,I want to apply my Patient Care skills in the field of Medicine,Medicine
B,B,A,C,B,A,B,I want to improve my skills in Patient Care,Medicine
D,E,B,A,A,A,D,How can I study Medicine?,Medicine
D,C,B,B,A,A,F,I'm passionate about doctor,Medicine
B,D,B,B,C,A,B,Helping with Biology in Medicine,Medicine
B,A,D,B,A,A,C,Helping with Patient Care in Medicine,Medicine
C,B,A,D,C,A,D,My goal is to become a Medical Researcher,Medicine
A,A,A,B,A,A,C,I enjoy cure and Biology,Medicine
A,A,B,A,A,A,C,Study Medicine,Medicine
C,A,B,C,D,B,B,Helping with Patient Care in Medicine,Medicine
B,D,A,C,B,A,C,Medicine,Medicine
C,A,C,C,B,A,B,Helping with Chemistry in Medicine,Medicine
B,C,F,A,C,B,E,emergency medicine save lives clinical,Medicine
B,A,B,B,C,A,D,I love medical technology,Medicine
B,D,B,B,B,A,C,"Good at Patient Care, want to be a Neurologist",Medicine
B,C,E,C,B,D,D,Medicine seems like a good fit for me,Medicine
C,C,C,E,B,A,B,Medicine seems like a good fit for me,Medicine
B,A,A,A,A,A,C,Is Medicine a good major?,Medicine
A,A,A,A,C,A,D,Medicine,Medicine
B,A,B,B,A,A,C,How can I study Medicine?,Medicine
B,B,C,A,C,A,E,I want to study Medicine,Medicine
D,B,B,A,B,A,A,Emergency Medicine Physician career path,Medicine
C,D,A,B,B,A,D,I want to improve my skills in Memorization,Medicine
B,B,C,C,E,A,D,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,D,B,E,C,C,D,I love patient,Medicine
E,B,A,C,C,A,C,I enjoy emergency medicine and Memorization,Medicine
B,A,B,B,B,A,B,Researching Medicine opportunities,Medicine
B,B,A,B,B,A,A,Is Medicine a good major?,Medicine
C,C,E,C,B,B,F,I enjoy healing and Critical Thinking,Medicine
B,B,A,B,A,A,C,I want to improve my skills in Biology,Medicine
B,C,A,C,D,C,B,Medicine seems like a good fit for me,Medicine
B,D,C,B,C,A,A,surgeon chemistry doctor,Medicine
B,B,B,A,D,A,D,Focusing on Chemistry and Critical Thinking,Medicine
C,A,B,B,B,B,C,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,C,D,C,A,B,I want to study Medicine,Medicine
B,D,C,B,C,A,A,I enjoy surgery and Memorization,Medicine
D,B,D,B,C,B,E,How can I study Medicine?,Medicine
B,E,C,D,B,A,C,Study Medicine,Medicine
B,A,A,A,C,A,C,I enjoy cardiology and Patient Care,Medicine
C,A,B,B,B,B,C,Medicine seems like a good fit for me,Medicine
B,A,A,C,B,A,B,Neurologist career path,Medicine
B,C,B,B,C,A,D,Medicine,Medicine
C,A,A,D,A,A,C,I am interested in Medicine,Medicine
C,B,C,B,B,A,D,Helping with Biology in Medicine,Medicine
B,C,C,C,A,A,D,How can I study Medicine?,Medicine
B,A,A,B,A,A,D,Focusing on Chemistry and Biology,Medicine
A,E,C,E,C,A,F,I want to apply my Communication skills in the field of Medicine,Medicine
B,B,C,A,B,A,A,I want to apply my Critical Thinking skills in the field of Medicine,Medicine
D,A,D,A,B,A,B,I want to improve my skills in Communication,Medicine
B,B,C,A,B,A,A,Medical Specialist career path,Medicine
B,B,A,B,A,A,C,saving lives surgeon treatment,Medicine
A,C,A,C,C,A,C,care medical profession helping people,Medicine
A,A,B,C,B,B,C,Focusing on Biology and Communication,Medicine
A,A,A,B,B,A,A,"bio, healthcare",Medicine
B,C,E,C,C,D,F,Helping with Memorization in Medicine,Medicine
D,B,C,D,C,D,A,I enjoy biology and Critical Thinking,Medicine
C,D,A,B,B,A,D,"Good at Chemistry, want to be a Medical Researcher",Medicine
B,C,C,C,F,A,D,Researching Medicine opportunities,Medicine
A,B,F,B,C,A,B,Medicine seems like a good fit for me,Medicine
B,C,A,C,A,A,B,Medical Specialist career path,Medicine
C,B,A,B,B,A,A,I want to study Medicine,Medicine
A,B,A,B,B,A,F,Helping with Communication in Medicine,Medicine
A,A,A,A,A,A,B,How can I study Medicine?,Medicine
C,C,D,D,B,A,D,I enjoy emergency medicine and Patient Care,Medicine
D,A,C,D,C,A,B,Medicine seems like a good fit for me,Medicine
A,A,A,A,A,A,B,I enjoy surgeon and Chemistry,Medicine
B,B,A,B,A,A,C,Focusing on Chemistry and Biology,Medicine
C,B,A,C,C,B,C,Study Medicine,Medicine
A,E,C,C,B,B,D,How can I study Medicine?,Medicine
A,A,B,A,A,A,C,Cardiologist career path,Medicine
B,C,F,A,C,B,E,Medicine seems like a good fit for me,Medicine
B,A,B,C,B,A,C,I want to improve my skills in Biology,Medicine
D,B,B,E,B,A,A,Medicine seems like a good fit for me,Medicine
C,B,C,C,A,A,D,I want to apply my Patient Care skills in the field of Medicine,Medicine
B,B,A,C,C,A,B,Researching Medicine opportunities,Medicine
C,A,B,A,A,A,D,How can I study Medicine?,Medicine
B,C,A,B,C,A,B,I am looking for a career in Emergency Medicine Physician,Medicine
C,B,A,B,B,A,A,Medicine,Medicine
A,B,B,B,B,A,D,How can I study Medicine?,Medicine
D,A,B,B,B,A,C,Helping with Communication in Medicine,Medicine
C,A,C,B,C,A,B,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
D,B,A,C,B,A,A,I want to improve my skills in Chemistry,Medicine
B,E,A,A,B,B,C,I enjoy surgeon and Memorization,Medicine
B,B,B,B,A,A,A,Medical Specialist career path,Medicine
E,B,A,C,C,A,C,I want to work with doctor,Medicine
C,B,C,C,D,A,A,Helping with Biology in Medicine,Medicine
B,A,A,C,A,A,A,"pediatrics, surgeon",Medicine
B,A,C,C,C,A,D,I enjoy medical technology and Patient Care,Medicine
C,C,F,B,B,B,C,Interested in Medicine and healthcare provider,Medicine
D,D,B,C,B,A,F,Is Medicine a good major?,Medicine
B,E,C,D,B,B,E,"medical profession, physician",Medicine
B,A,A,A,A,A,B,therapeutic pharmacology helping people,Medicine
B,A,B,A,A,A,B,My goal is to become a Pediatrician,Medicine
D,F,C,C,C,C,F,Study Medicine,Medicine
B,B,B,B,B,A,B,I want to apply my Memorization skills in the field of Medicine,Medicine
C,C,F,B,A,A,B,I want to study Medicine,Medicine
C,B,A,B,C,A,D,Medicine seems like a good fit for me,Medicine
B,B,A,A,A,A,B,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,D,B,C,A,B,I love medical technology,Medicine
B,D,C,D,A,A,B,I am looking for a career in Emergency Medicine Physician,Medicine
C,B,B,B,E,A,C,patient medical technology biology,Medicine
D,B,C,C,C,A,E,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
B,B,B,B,A,A,B,I am interested in Medicine,Medicine
B,A,A,A,A,A,D,"Good at Communication, want to be a Cardiologist",Medicine
C,D,C,E,B,A,A,I want to improve my skills in Communication,Medicine
B,C,A,B,C,A,D,Helping with Memorization in Medicine,Medicine
B,A,B,B,B,A,B,Medicine,Medicine
B,C,A,A,C,A,A,Researching Medicine opportunities,Medicine
D,D,B,C,A,B,B,Interested in Medicine and anatomy,Medicine
C,B,C,C,D,A,A,Medicine,Medicine
B,A,A,B,A,A,B,Medicine,Medicine
A,C,C,B,F,B,F,My goal is to become a Medical Specialist,Medicine
E,D,C,B,C,A,B,Focusing on Patient Care and Chemistry,Medicine
B,B,A,D,B,A,D,I'm passionate about emergency medicine,Medicine
B,A,B,B,B,C,E,I am interested in Medicine,Medicine
A,B,B,C,B,A,B,Is Medicine a good major?,Medicine
B,D,B,B,C,A,B,I am interested in Medicine,Medicine
B,D,B,B,C,A,C,Researching Medicine opportunities,Medicine
C,E,C,B,C,A,C,I am interested in Medicine,Medicine
C,A,A,A,A,A,B,I want to apply my Biology skills in the field of Medicine,Medicine
B,B,B,B,C,A,E,Medicine,Medicine
C,D,A,B,C,A,A,I am looking for a career in Doctor,Medicine
D,B,B,B,A,B,C,Helping with Biology in Medicine,Medicine
B,B,D,D,B,B,E,I want to work with save lives,Medicine
B,A,D,B,A,A,D,Medical Specialist career path,Medicine
C,C,F,B,B,B,C,My goal is to become a Medical Specialist,Medicine
D,C,E,B,C,A,B,I am looking for a career in Medical Researcher,Medicine
A,C,B,E,C,A,C,Is Medicine a good major?,Medicine
A,B,A,A,B,B,C,My goal is to become a Doctor,Medicine
B,B,A,A,B,A,E,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
B,C,C,C,C,A,C,I enjoy cure and Memorization,Medicine
B,B,A,B,B,A,E,I want to apply my Patient Care skills in the field of Medicine,Medicine
B,C,D,B,C,B,C,Helping with Patient Care in Medicine,Medicine
A,A,A,B,A,A,C,How can I study Medicine?,Medicine
D,A,C,B,A,A,A,I love surgeon,Medicine
C,C,F,B,A,A,B,My goal is to become a Neurologist,Medicine
B,B,B,A,D,A,D,I want to apply my Memorization skills in the field of Medicine,Medicine
A,A,A,C,A,A,A,"Good at Chemistry, want to be a Medical Researcher",Medicine
C,A,C,F,E,B,D,"pediatrics, anatomy",Medicine
C,C,C,C,E,A,C,My goal is to become a Neurologist,Medicine
C,D,A,D,B,A,F,I'm passionate about clinical,Medicine
D,B,B,D,A,A,C,"Good at Memorization, want to be a Neurologist",Medicine
B,C,B,C,B,A,A,I love medical research,Medicine
C,B,B,C,A,A,C,I love medicine,Medicine
B,D,A,B,B,A,B,Medicine seems like a good fit for me,Medicine
B,C,B,D,C,B,F,medical practice help people helping people,Medicine
B,A,D,B,B,A,A,I want to study Medicine,Medicine
B,C,C,C,B,B,F,Helping with Critical Thinking in Medicine,Medicine
D,B,A,C,B,A,A,I want to work with saving lives,Medicine
B,D,A,B,B,A,B,I enjoy therapeutic and Biology,Medicine
C,C,B,D,D,A,C,Interested in Medicine and cardiology,Medicine
A,A,A,B,A,A,C,Medicine seems like a good fit for me,Medicine
A,A,A,C,C,B,B,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
D,C,E,B,C,A,B,Study Medicine,Medicine
A,C,B,B,A,B,D,Is Medicine a good major?,Medicine
B,C,C,B,D,A,D,Medicine,Medicine
C,D,C,B,C,C,F,I'm passionate about medical specialist,Medicine
B,A,B,A,A,A,A,Is Medicine a good major?,Medicine
B,D,B,B,C,A,B,How can I study Medicine?,Medicine
C,B,B,B,E,D,C,Interested in Medicine and emergency medicine,Medicine
D,F,C,C,C,B,C,I want to apply my Memorization skills in the field of Medicine,Medicine
C,A,C,C,B,A,B,How can I study Medicine?,Medicine
B,E,A,A,B,B,C,How can I study Medicine?,Medicine
C,B,B,B,C,A,A,I want to study Medicine,Medicine
B,A,A,C,B,A,B,Helping with Critical Thinking in Medicine,Medicine
D,D,B,C,B,A,F,I want to study Medicine,Medicine
A,A,A,B,B,A,C,I want to work with medical specialist,Medicine
B,B,D,A,B,A,C,Helping with Chemistry in Medicine,Medicine
B,B,A,D,B,A,D,My goal is to become a Doctor,Medicine
A,C,B,C,B,A,C,Surgeon career path,Medicine
D,C,E,B,C,A,B,I enjoy medical school and Patient Care,Medicine
C,B,C,C,B,A,C,Is Medicine a good major?,Medicine
B,C,C,B,E,A,F,Is Medicine a good major?,Medicine
C,B,C,B,A,B,D,Medicine,Medicine
C,C,F,B,A,A,B,I am interested in Medicine,Medicine
E,B,A,C,B,A,C,surgeon therapeutic cardiology,Medicine
B,C,E,C,C,C,E,I want to improve my skills in Biology,Medicine
B,B,A,C,A,B,C,I enjoy physician and Chemistry,Medicine
B,D,A,D,A,A,C,I want to apply my Biology skills in the field of Medicine,Medicine
C,B,A,D,C,A,D,Researching Medicine opportunities,Medicine
B,C,B,E,E,A,C,"Good at Critical Thinking, want to be a Doctor",Medicine
C,B,C,C,C,A,A,patient diagnosis physician,Medicine
C,B,B,C,B,A,B,I love hospital,Medicine
C,B,B,B,E,A,C,Focusing on Chemistry and Biology,Medicine
C,B,F,B,B,B,C,Focusing on Patient Care and Memorization,Medicine
B,D,A,B,B,A,B,I want to apply my Critical Thinking skills in the field of Medicine,Medicine
B,A,A,D,A,A,A,medical research healing chemistry,Medicine
C,B,A,C,E,A,C,I want to study Medicine,Medicine
C,C,E,C,C,A,F,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,B,C,A,A,C,I enjoy life sciences and Chemistry,Medicine
C,A,A,B,C,A,E,I am looking for a career in Pediatrician,Medicine
B,D,C,D,C,C,E,I want to improve my skills in Chemistry,Medicine
B,B,C,C,E,A,D,I love chemistry,Medicine
B,C,C,B,E,A,F,I love save lives,Medicine
B,A,B,B,A,A,B,Researching Medicine opportunities,Medicine
C,B,A,C,C,A,F,Focusing on Critical Thinking and Biology,Medicine
B,C,F,C,C,A,E,Interested in Medicine and cardiology,Medicine
A,B,A,B,A,A,C,I want to apply my Patient Care skills in the field of Medicine,Medicine
C,C,A,C,A,A,D,Interested in Medicine and saving lives,Medicine
B,B,A,C,A,A,A,I want to apply my Patient Care skills in the field of Medicine,Medicine
D,B,C,C,C,A,E,I am interested in Medicine,Medicine
B,C,A,C,B,A,A,"Good at Chemistry, want to be a Pharmacist",Medicine
C,B,C,B,B,A,D,Helping with Communication in Medicine,Medicine
A,A,A,A,B,A,A,Interested in Medicine and healthcare,Medicine
C,B,C,B,A,B,D,Researching Medicine opportunities,Medicine
B,C,B,B,A,A,D,Medicine,Medicine
A,B,B,A,A,A,B,I want to study Medicine,Medicine
A,A,A,B,B,A,A,Is Medicine a good major?,Medicine
D,A,B,C,A,A,A,save lives helping people patient,Medicine
C,B,B,B,E,A,C,Researching Medicine opportunities,Medicine
B,B,A,C,C,A,B,Medicine,Medicine
D,B,B,A,B,A,A,I am interested in Medicine,Medicine
D,C,A,C,E,A,D,Medicine,Medicine
D,F,C,A,C,C,C,Medicine seems like a good fit for me,Medicine
C,B,B,D,A,A,B,I am interested in Medicine,Medicine
D,E,A,E,C,A,A,Interested in Medicine and medical degree,Medicine
C,B,D,D,C,A,A,My goal is to become a Neurologist,Medicine
C,C,A,C,C,A,D,I want to study Medicine,Medicine
B,A,A,A,A,A,C,Study Medicine,Medicine
D,A,A,B,B,A,A,medical school medical profession helping people,Medicine
A,A,E,A,B,A,A,Medicine seems like a good fit for me,Medicine
B,B,B,B,A,A,B,How can I study Medicine?,Medicine
B,C,B,B,E,A,D,How can I study Medicine?,Medicine
B,C,A,C,B,A,B,Medicine,Medicine
B,B,B,C,B,A,A,pediatrics medical medical technology,Medicine
B,B,A,A,B,A,B,Researching Medicine opportunities,Medicine
B,D,B,C,C,A,B,I want to study Medicine,Medicine
C,B,C,D,C,A,B,"Good at Patient Care, want to be a Pharmacist",Medicine
B,C,A,B,C,A,D,I want to improve my skills in Chemistry,Medicine
C,B,F,B,B,B,C,I want to study Medicine,Medicine
C,E,C,D,B,A,B,How can I study Medicine?,Medicine
C,C,C,C,B,A,B,Study Medicine,Medicine
C,E,C,E,C,B,B,How can I study Medicine?,Medicine
C,A,A,B,A,A,A,Helping with Chemistry in Medicine,Medicine
A,A,A,C,A,A,A,Interested in Medicine and biology,Medicine
D,E,A,E,C,A,A,Medicine,Medicine
C,C,C,C,E,A,C,I want to improve my skills in Biology,Medicine
B,C,C,B,C,A,C,I enjoy medical profession and Chemistry,Medicine
D,E,A,E,C,A,A,How can I study Medicine?,Medicine
B,E,C,D,B,A,C,Focusing on Communication and Chemistry,Medicine
B,B,F,D,C,A,D,My goal is to become a Cardiologist,Medicine
A,A,A,C,C,B,B,I am looking for a career in Medical Specialist,Medicine
C,B,A,D,C,A,D,I want to improve my skills in Biology,Medicine
C,C,A,C,B,A,D,patient medical neurology,Medicine
C,C,C,D,D,A,E,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
B,B,B,A,B,A,D,Focusing on Memorization and Patient Care,Medicine
C,C,B,D,B,A,C,I want to improve my skills in Patient Care,Medicine
D,A,C,B,A,A,A,Medicine,Medicine
B,A,C,B,B,A,C,My goal is to become a Cardiologist,Medicine
D,B,E,D,B,C,F,My goal is to become a Medical Specialist,Medicine
B,B,B,C,B,A,A,I enjoy biology and Communication,Medicine
C,A,A,B,A,A,A,My goal is to become a Cardiologist,Medicine
A,E,A,D,B,B,C,My goal is to become a Medical Specialist,Medicine
E,B,E,C,C,A,B,Pharmacist career path,Medicine
C,B,B,D,C,A,B,My goal is to become a Pharmacist,Medicine
C,C,C,C,C,B,C,Researching Medicine opportunities,Medicine
C,B,A,C,B,A,B,Is Medicine a good major?,Medicine
